"Competition_Name","Gender","Country","Season_End_Year","Squad","Team_or_Opponent","Num_Players","Mins_Per_90","Gls_Standard","Sh_Standard","SoT_Standard","SoT_percent_Standard","Sh_per_90_Standard","SoT_per_90_Standard","G_per_Sh_Standard","G_per_SoT_Standard","Dist_Standard","FK_Standard","PK_Standard","PKatt_Standard","xG_Expected","npxG_Expected","npxG_per_Sh_Expected","G_minus_xG_Expected","np:G_minus_xG_Expected"
"Premier League","M","ENG",2022,"Brentford","team",29,38,46,436,141,32.3,11.47,3.71,0.09,0.28,16.3,11,6,6,45.8,41.1,0.1,0.2,-1.1
"Premier League","M","ENG",2022,"Brighton","team",26,38,40,482,141,29.3,12.68,3.71,0.07,0.26,17.7,15,4,7,46.2,40.7,0.09,-6.2,-4.7
"Premier League","M","ENG",2022,"Burnley","team",23,38,32,405,119,29.4,10.66,3.13,0.08,0.26,17.2,14,1,2,39.7,38.1,0.1,-7.7,-7.1
"Premier League","M","ENG",2022,"Chelsea","team",26,38,75,583,200,34.3,15.34,5.26,0.11,0.34,17.4,26,8,9,63.4,56.6,0.1,11.6,10.4
"Premier League","M","ENG",2022,"Crystal Palace","team",24,38,50,404,140,34.7,10.63,3.68,0.11,0.31,16.1,13,6,8,46.4,40.1,0.1,3.6,3.9
"Premier League","M","ENG",2022,"Everton","team",33,38,42,430,130,30.2,11.32,3.42,0.08,0.28,17.7,18,6,7,41.2,35.8,0.08,0.8,0.2
"Premier League","M","ENG",2022,"Leeds United","team",29,38,42,480,142,29.6,12.63,3.74,0.08,0.26,18.3,13,5,5,44.4,40.4,0.09,-2.4,-3.4
"Premier League","M","ENG",2022,"Leicester City","team",28,38,62,433,164,37.9,11.39,4.32,0.14,0.37,17.8,14,2,2,47.8,46.2,0.11,14.2,13.8
"Premier League","M","ENG",2022,"Liverpool","team",27,38,94,721,237,32.9,18.97,6.24,0.12,0.37,16.7,13,7,8,88.7,82.7,0.12,5.3,4.3
"Premier League","M","ENG",2022,"Manchester City","team",26,38,96,704,237,33.7,18.53,6.24,0.13,0.38,16.3,17,7,9,88.7,81.4,0.12,7.3,7.6
"Premier League","M","ENG",2022,"Manchester Utd","team",29,38,56,503,179,35.6,13.24,4.71,0.11,0.3,17.7,19,3,5,55.8,51.9,0.11,0.2,1.1
"Premier League","M","ENG",2022,"Newcastle Utd","team",29,38,41,446,142,31.8,11.74,3.74,0.09,0.27,18.1,15,3,3,38.1,35.9,0.08,2.9,2.1
"Premier League","M","ENG",2022,"Norwich City","team",28,38,21,370,104,28.1,9.74,2.74,0.05,0.17,19,18,3,3,32.3,30,0.08,-11.3,-12
"Premier League","M","ENG",2022,"Southampton","team",25,38,41,478,161,33.7,12.58,4.24,0.08,0.23,17.7,24,4,4,44.8,41.6,0.09,-3.8,-4.6
